State,Remaining tiles,Move time,Time evaluating nodes,Nodes evaluated,Nodes expanded,Terminal states visited,Total states visited
1/aaaaaaa/feebfbb.cecbdag.cgacdab.aeedggc.afgbceg.afgcadd.defdfbf,49,8.17,8.06,380,50,0,158
2/aaaaaca/1eebfbb.cecbdag.cgacdab.aeedggc.afgbceg.afgcadd.defdfb1,47,8.33,8.20,445,50,0,150
1/aaa-caca/1eebfbb.cecbdag.cgacdab.aeedggc.afgbceg.afgcad1.1efdfb1,45,9.54,9.39,504,50,0,149
2/aca-caca/1eebfb1.cecbdag.cgacdab.aeedggc.afgbceg.afgcad1.1efdf2,43,10.25,10.03,594,50,0,158
1/aca-c-cca/2ebfb1.cecbdag.cgacdab.aeedggc.afgbceg.afgcad1.2fdf2,41,9.96,9.78,634,50,0,147
2/aca-c-ccb/2ebfb1.cecbda1.cgacdab.aeedggc.afgbceg.afgcad1.2fdf2,40,10.47,10.27,683,50,0,163
1/aca-c-cab/2ebfb1.cecbda1.cgacdab.aeedggc.afgbceg.afgcad1.3d3,38,8.51,8.34,580,50,0,153
2/bca-c-cab/2ebfb1.cecbda1.cgacdab.aeedggc.afgbceg.1fgcad1.3d3,37,10.29,10.09,651,50,0,156
1/baa-c-cab/2ebf2.cecbda1.cgacda1.aeedggc.afgbceg.1fgcad1.3d3,35,10.41,10.19,724,50,0,153
2/daa-c-cab/2ebf2.cecbd2.cgacda1.aeedggc.1fgbceg.1fgcad1.3d3,33,10.49,10.27,746,50,0,150
1/daa-e-cab/2ebf2.cecbd2.cgacda1.aeedggc.1fgbceg.1fgca2.7,31,9.74,9.53,715,50,0,147
2/faa-e-cab/2ebf2.cecbd2.cgacd2.aeedggc.1fgbceg.1fgc3.7,29,8.76,8.55,724,50,0,154
1/faa-e-c-bb/2eb3.cecbd2.cgacd2.aeedggc.1fgbceg.1fgc3.7,28,7.99,7.80,667,50,0,146
2/fac-e-c-bb/2eb3.1ecbd2.cgacd2.aeedgg1.1fgbceg.1fgc3.7,26,7.42,7.24,659,50,0,151
1/eac-e-c-bb/2eb3.1ecbd2.cgacd2.1eedgg1.1fgbceg.1fgc3.7,25,6.05,5.89,570,50,0,159
2/ebc-e-c-bb/2e4.1ecbd2.cgacd2.1eedgg1.1fgbceg.1fgc3.7,24,6.18,6.02,581,50,0,154
1/ebc-f-c-bb/2e4.1ecb3.cgacd2.1eedgg1.1fgbceg.1fgc3.7,23,6.35,6.18,614,50,0,154
2/ebc-fa-bb/7.2cb3.cgacd2.1eedgg1.1fgbceg.1fgc3.7,21,4.29,4.16,463,50,0,151
1/eb-b-fa-bb/7.3b3.1gacd2.1eedgg1.1fgbceg.1fg4.7,18,2.94,2.84,354,50,0,164
2/eb-b-fa-be/7.3b3.2acd2.1eedg2.1fgbce1.1fg4.7,15,2.86,2.77,352,50,0,159
1/ea-b-fa-be/7.7.2acd2.1eedg2.1fgbce1.1fg4.7,14,2.83,2.73,362,50,0,172
2/ea-b-ea-be/7.7.2ac3.1eedg2.1fgbce1.1fg4.7,13,2.48,2.39,330,50,0,188
1/ea-b-ea-bc/7.7.2ac3.1eed3.1fgbce1.1f5.7,11,1.76,1.69,245,50,0,207
2/ea-b-ec-bc/7.7.2ac3.2ed3.1fgbc2.1f5.7,9,1.28,1.22,185,50,0,229
1/da-b-ec-bc/7.7.3c3.2ed3.1fgbc2.1f5.7,8,0.69,0.64,109,46,4,266
2/da-b-ecbc/7.7.3c3.2ed3.2gbc2.7.7,6,0.44,0.40,67,43,7,262
1/da-b-ecbb/7.7.3c3.2ed3.3bc2.7.7,5,0.10,0.07,20,19,31,252
2/dab-ecbb/7.7.7.2ed3.3b3.7.7,3,0.01,0.00,0,0,50,200
1/d-bb-ecbb/7.7.7.2ed3.7.7.7,2,0.01,0.00,0,0,50,150
2/d-bb-dcbb/7.7.7.2e4.7.7.7,1,0.00,0.00,0,0,50,100
